merchant_id,domain,feed_url,feed_type,item_count,validated_at,last_http_status,sample_item_url,sample_item_title,validation_error
004ad9b0-f1ec-58ab-b67e-85f2036649fa207b615c,tvbeugels-nl.myshopify.com,https://tvbeugels-nl.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.770716+00:00,200,https://www.tvbeugels.nl/products/op-op-wolff-mount-universele-kantelbare-tv-muurbeugel-32-t-m-65-inch-vesa-600x400-kopie,Op=Op | Wolff Mount TV Muurbeugel voor Philips Ambilight 32 t/m 65 inch geschikt | VESA 600x400,
00710923-c1cb-52dd-be94-2f3ffddb38e6a2468955,yankee-1952.myshopify.com,https://yankee-1952.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.784850+00:00,200,https://yankeefarmersmarket.com/products/fresh-thanksgiving-turkey-deposit,Fresh Thanksgiving Turkey (Deposit Only),
007airsoft.com,007airsoft.com,https://007airsoft.com/collections/all.atom,atom,25,2026-08-28T16:46:04.799996+00:00,200,https://www.007airsoft.com/products/amarok-am240k-mid-cap-mag-for-ak-240rd,Amarok AM240K Mid-Cap Mag for AK  (240rd),
0071b2.myshopify.com,0071b2.myshopify.com,https://0071b2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.811199+00:00,200,https://badgercollection.com/products/telefon-cantasi-cuzdan-anahtarlik-3lu-set-kampanyasi,Telefon Çantası + Cüzdan + Anahtarlık 3'lü Set Kampanyası,
0079f277-d870-52e3-9c0c-ca452c56b3e29bb1d91d,eyeglassdiscounter.myshopify.com,https://eyeglassdiscounter.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:05.005564+00:00,200,https://eyeglassdiscounter.com/products/uncle-junior-large-xxl,Uncle Junior Large XXL,
006591a5-617e-5c73-98c0-53ae9ab7fa224f645adc,cherubina.com,https://cherubina.com/collections/all.atom,atom,25,2026-08-28T16:46:05.052446+00:00,200,https://cherubina.com/products/chaleco-norma,Chaleco Norma,
007airsoft.myshopify.com,007airsoft.myshopify.com,https://007airsoft.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:05.158164+00:00,200,https://007airsoft.myshopify.com/products/amarok-am240k-mid-cap-mag-for-ak-240rd,Amarok AM240K Mid-Cap Mag for AK  (240rd),
007af973-29bc-508b-ab31-67555342f231b911c713,berkshire-jag-components.myshopify.com,https://berkshire-jag-components.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:05.204761+00:00,200,https://www.berkshirejagcomponents.com/products/f-pace-5-0-v8-s-c-upper-inlet-manifold-gasket-aj811948,F Pace 5.0 V8 S/C Upper Inlet Manifold Gasket AJ811948,
0059f4c6-8745-5ca8-8464-ecc6ce5733ffaf11e953,legalizeitplus.myshopify.com,https://legalizeitplus.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:05.214398+00:00,200,https://legalizeitplus.ro/products/jucarie-orb-retro-basket-ball-mini-arcade-machine-20x13cm,Jucarie 'ORB' Retro Basket Ball | Mini Arcade Machine - 20x13cm.,
007d8ff2-ccb0-5c3f-85cb-e79985bd28ba72973037,panda-camera-hk.myshopify.com,https://panda-camera-hk.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:05.375074+00:00,200,https://www.pandacamera.com/products/fujifilm-instax-mini-pastel-galaxy-10-sheets-instant-color-film-purchase-limit-5-boxes,Fujifilm Instax Mini Instant Film (Pastel Galaxy) - 10 Sheets (Max 5 Boxes Per Order),
